group_deal_category,group_created_by,delivery_coordinates,delivery_location_name,unique_group_members,total_groups,monday_orders,tuesday_orders,wednesday_orders,thursday_orders,friday_orders,saturday_orders,sunday_orders,active_days,total_orders
NORMAL_GROUPS,666cd12b-a2c8-419f-9933-4a755fc2a20b,POINT(38.873370 9.056976),ያልተሰየመ መንገድ,19,7,0,3,0,0,21,12,7,4,43
NORMAL_GROUPS,5e4f23b2-41a9-4683-849e-6d1e74085eed,POINT(38.813808 9.019354),"Century Mall Gurd Shola, አዲስ አበባ, ኢትዮጵያ",19,23,17,24,6,14,44,7,0,12,112
NORMAL_GROUPS,353496e3-d649-43ee-b763-7883946cc161,POINT(38.814234 8.995622),"KADISCO General Hospital, Giorgis, Road to, አዲስ አበባ, ኢትዮጵያ",19,8,22,10,5,0,0,7,0,5,44
NORMAL_GROUPS,56c85bb8-634d-43ef-b3ae-de9a83071e23,POINT(38.751298 9.014150),Bedlu building | mexico,19,10,22,1,38,0,8,0,0,6,58
NORMAL_GROUPS,2016916b-3769-4be2-8953-af9c18fd0e71,POINT(38.780139 8.900683),"Kality Genet Menafesha Condomunium, አዲስ አበባ, ኢትዮጵያ",19,6,6,5,11,0,5,0,10,5,32
NORMAL_GROUPS,5d2407c9-0c01-445d-9ebd-e27e04bfe576,POINT(38.801288 9.016723),"Lancet Specialized internal Medicine and Surgical Center | Megenagna |, Addis Ababa, Ethiopia",19,16,24,12,6,12,24,120,24,7,77
NORMAL_GROUPS,71b47348-a113-478d-9a24-440098692923,POINT(38.868674 9.066215),Abado Ena Tafou 20/21,19,11,10,18,23,5,8,0,5,9,69
NORMAL_GROUPS,992243df-314c-450c-9bdb-94122f4e41f9,POINT(38.699864 9.053830),Yaliteseyeme Menigedi,18,28,33,6,37,38,16,4,39,16,156
NORMAL_GROUPS,45971823-604e-44a0-9d5d-c4dd89793977,POINT(38.752191 9.024630),Churchill Ave,18,9,4,11,11,0,12,10,0,8,43
NORMAL_GROUPS,2e0d92fd-e696-46de-a629-ce6e0bf87bbe,POINT(38.698135 9.050470),Mikililand condominium site ሚኪሊላንድ ኮንደሚኒየም ሳይት,18,20,9,19,18,1,25,21,0,11,80
NORMAL_GROUPS,eb573ddf-3a84-4d22-87bb-9722ddc01ed8,POINT(38.716606 8.958270),"Jemo 1 condominium, Addis Ababa, Ethiopia",18,10,21,8,0,16,11,0,0,6,56
NORMAL_GROUPS,073f6619-9268-425f-afdc-ea54583451f7,POINT(38.871344 9.021578),"Ayat Adebabay Station, አዲስ አበባ, ኢትዮጵያ",18,19,0,22,29,23,1,24,0,10,92
NORMAL_GROUPS,e911fff0-3dfd-4788-b0a8-a86c697b2d01,POINT(38.769011 8.988137),"Telecom Excellence Academy (Ethio telecom - TExA), Ethio China Street, Addis Ababa, Ethiopia",18,13,18,35,5,8,0,0,0,5,66
NORMAL_GROUPS,33083563-a20e-4814-8504-dedd0804bfbc,POINT(38.739174 8.995422),Sar bet,18,15,19,13,12,0,16,30,6,10,96
NORMAL_GROUPS,60cd1f99-9821-4b85-a90d-6ce3f4244dac,POINT(38.725539 8.947710),Beyeda bedewi meamede,18,10,0,11,6,0,10,21,19,5,67
NORMAL_GROUPS,c94d5388-842b-4d72-b1fe-7c3791f1b6b0,POINT(38.776893 8.993692),Airport Road,17,20,5,20,33,5,0,12,0,9,75
NORMAL_GROUPS,8c810b08-d5e2-4aab-ba76-741ab7a039d1,POINT(38.808136 8.999864),ያልተሰየመ መንገድ,17,28,62,23,12,27,60,18,2,14,164
NORMAL_GROUPS,ac432ded-6435-4516-b19d-68867b15ee80,POINT(38.873007 9.057024),Abado Ena Tafou 20/21,17,8,0,18,5,0,14,5,0,4,35
NORMAL_GROUPS,60105437-bda7-4035-a640-2bc99dba3db6,POINT(38.731105 8.934283),"Haile garment addis abeba condominium, Addis Ababa, Ethiopia",17,25,0,0,0,47,52,17,2,4,118
NORMAL_GROUPS,0261278e-86a8-4e39-ad96-41568c05d296,POINT(38.780139 8.900683),"Kality Genet Menafesha Condomunium, አዲስ አበባ, ኢትዮጵያ",17,6,6,8,0,10,5,6,0,5,29
NORMAL_GROUPS,ebde93ca-aec1-48b8-86f0-4bf871c21f39,POINT(38.664944 8.982933),Woreda 11,17,22,8,9,11,26,1,24,23,13,75
NORMAL_GROUPS,5d2407c9-0c01-445d-9ebd-e27e04bfe576,POINT(38.799639 9.016963),Yaliteseyeme Menigedi,17,12,12,0,12,6,28,40,10,7,54
NORMAL_GROUPS,e23fe0f2-1a38-443b-9ab1-e8fad4225e5f,POINT(38.861516 9.012966),Home   golagol summit,17,11,0,16,6,10,17,10,0,6,53
NORMAL_GROUPS,2c23b259-c337-425d-b321-c64cf49825ad,POINT(38.744182 8.988611),Alexander Pushkin St,17,11,10,7,10,5,8,19,5,8,53
NORMAL_GROUPS,f793933e-3989-47f2-a543-38a1cf85b33f,POINT(38.754289 8.934566),"Haji suk, አዲስ አበባ, ኢትዮጵያ",17,5,32,0,0,0,10,7,0,3,36
NORMAL_GROUPS,999b27d0-70b0-448c-a3e0-86831f269367,POINT(38.878122 9.030819),"TNT Construction and Trading, Near, አዲስ አበባ, ኢትዮጵያ",17,11,0,0,30,4,6,6,0,4,46
NORMAL_GROUPS,6a910261-434f-4dd5-8b07-2322a7fa790b,POINT(38.780139 8.900683),"Kality Genet Menafesha Condomunium, አዲስ አበባ, ኢትዮጵያ",17,5,6,6,5,5,5,0,0,5,27
NORMAL_GROUPS,c3e813b9-fce4-45f6-b4f5-4a114246c3bb,POINT(38.803919 9.014171),Ring Road,17,7,0,5,0,0,8,16,1,4,30
NORMAL_GROUPS,e0569b9b-0bbf-4fc2-8246-5857b7725705,POINT(38.802685 9.016888),Ring Road,17,15,32,8,0,1,0,2,0,4,42
NORMAL_GROUPS,c1f4ab09-4767-465a-a75f-8073c9c44101,POINT(38.751854 9.022350),Tracon tower | churchill area,17,14,32,20,1,0,18,0,0,9,71
NORMAL_GROUPS,be4ee005-ea02-4d5c-9014-051400f28ae3,POINT(38.780139 8.900683),"Kality Genet Menafesha Condomunium, አዲስ አበባ, ኢትዮጵያ",17,6,6,6,5,1,0,0,7,6,25
NORMAL_GROUPS,b49382d8-5965-43d7-bb1d-66af0b6639f6,POINT(38.781806 8.900868),ያልተሰየመ መንገድ,17,20,0,17,52,23,5,0,0,4,96
NORMAL_GROUPS,7094e0d8-5761-4362-9623-9ad783850dd3,POINT(38.739874 9.000634),Sarbet Road Around Africa Union,17,12,25,5,13,6,15,0,0,7,64
NORMAL_GROUPS,76255ea8-d5a3-44bc-b8e1-ac15a56792f2,POINT(38.739436 9.041330),AbebechGobena Charity,16,22,0,38,42,0,13,20,0,6,113
NORMAL_GROUPS,c31e2ad9-6879-4a1d-9d70-da29aa8269ca,POINT(38.772135 8.975429),"40/60 condomnym, አዲስ አበባ, ኢትዮጵያ",16,40,3,51,81,3,11,10,38,13,197
NORMAL_GROUPS,03577527-dc35-4832-a59f-a844d7b52771,POINT(38.765373 9.015744),Nega Tower,16,11,15,11,18,1,4,0,0,8,49
NORMAL_GROUPS,1379544d-20b8-49a7-b634-6ad2307f496b,POINT(38.809330 8.998029),ያልተሰየመ መንገድ,16,100,38,41,40,19,81,0,14,15,213
NORMAL_GROUPS,96fdf441-e89a-459d-86e9-6d5abeb66d60,POINT(38.754289 8.934566),"Haji suk, አዲስ አበባ, ኢትዮጵያ",16,6,11,9,0,0,0,9,9,4,38
NORMAL_GROUPS,7f9b53ad-2954-423f-bee2-e8b3aba7b79e,POINT(38.765586 9.016256),ያልተሰየመ መንገድ,16,6,6,0,17,4,0,0,5,6,32
NORMAL_GROUPS,22e11226-322a-4f7d-a006-ecb575468802,POINT(38.878122 9.030819),"TNT Construction and Trading, Near, አዲስ አበባ, ኢትዮጵያ",16,9,5,0,34,9,22,0,0,5,66
NORMAL_GROUPS,6b3360b5-dfd4-4c2c-bbe5-5747aa68beb2,POINT(38.837243 8.889480),Hiwot Drug Store,16,32,39,24,43,27,10,5,0,10,143
NORMAL_GROUPS,7fed3919-2b6a-48bb-921e-7105307c5172,POINT(38.765448 9.015504),Emebet amare building contractor,16,10,19,7,5,14,5,1,5,8,56
NORMAL_GROUPS,7c9f7d58-656d-461c-a3e1-dce49764ee4f,POINT(38.861522 9.041513),Yaliteseyeme Menigedi,16,13,5,42,18,8,0,5,0,6,78
NORMAL_GROUPS,1005bc26-04b6-4e5f-864d-cb82145050ec,POINT(38.865145 9.045531),ያልተሰየመ መንገድ,16,10,9,9,15,16,8,0,8,7,65
NORMAL_GROUPS,2f56dce1-a3b5-4e19-bdd5-7c45fbe0a016,POINT(38.780139 8.900683),"Kality Genet Menafesha Condomunium, አዲስ አበባ, ኢትዮጵያ",16,4,0,0,0,10,10,12,0,3,26
NORMAL_GROUPS,3032f101-f68d-4300-a427-d7d1bb803c4a,POINT(38.759710 8.981070),Gotera square | ጎተራ ማሳለጫ,16,44,7,34,27,9,79,0,12,14,149
NORMAL_GROUPS,d5653d89-8e40-4c1f-8ef2-36fcac270718,POINT(38.737035 8.956003),"Lebu Gebriel graveyard, አዲስ አበባ, ኢትዮጵያ",15,5,0,12,0,5,6,5,0,4,28
NORMAL_GROUPS,d0ee40fc-9919-421d-b90e-709b83ce1b1d,POINT(38.754716 9.030345),Taitu,15,8,11,0,18,4,14,0,0,7,47
NORMAL_GROUPS,0fd1f138-6731-431b-aa15-744ecfaff8bb,POINT(38.877251 9.025597),A2,15,11,11,0,22,13,0,16,0,5,62
NORMAL_GROUPS,13c07034-1b47-401f-b8fb-4878f9c4d0d5,POINT(38.766496 9.041066),Russia St,15,13,0,7,0,17,16,24,17,7,63
NORMAL_GROUPS,12a42d1c-2bf4-4ba2-b4dd-43e929480e76,POINT(38.873260 9.056921),"Gedera Hidasse Health Center | ገደራ ህዳሴ ጤና ጣቢያ, አዲስ አበባ, ኢትዮጵያ",15,27,34,30,13,0,20,42,2,12,123
NORMAL_GROUPS,454f9732-21a6-42c2-9675-fa82b336232b,POINT(38.752254 9.037511),"Arada Giyorgis Square, 9, Addis Ababa, Ethiopia",15,7,7,8,14,7,0,0,0,6,36
NORMAL_GROUPS,81b3f9e3-cc9a-430d-b45e-314d4d84ce9f,POINT(38.769011 8.988137),"Telecom Excellence Academy (Ethio telecom - TExA), Ethio China Street, Addis Ababa, Ethiopia",15,7,0,6,17,16,1,0,0,6,40
NORMAL_GROUPS,993d4426-a27a-4e71-ac2c-8b39a41e84ad,POINT(38.774972 8.993303),"Garad Building | Wollo Sefer | ጋራድ ህንጻ | ወሎ ሠፈር, አዲስ አበባ, ኢትዮጵያ",15,39,33,17,85,4,2,14,5,16,160
NORMAL_GROUPS,31b516fa-9e31-4658-97f5-cc2b141fcf4a,POINT(38.822815 9.024942),Merado hotel | lamberet | ሜራዶ ሆቴል | ላምበረት,15,13,0,0,0,10,19,55,5,6,73
NORMAL_GROUPS,2345c7f4-7273-46be-a619-22e3d12bf338,POINT(38.751972 9.025861),Eyor,15,12,11,36,0,0,0,0,11,6,58
NORMAL_GROUPS,3086c64d-44f6-4a61-a04a-5ae4568c472a,POINT(38.711949 8.958117),"Jemo anbesa garji, Addis Ababa, Ethiopia",15,11,8,0,15,0,11,18,16,6,56
NORMAL_GROUPS,9e8c9092-4102-4109-9605-9f00d54bda87,POINT(38.696727 8.983789),Ayer tena taxi station,15,11,0,17,12,26,7,6,0,7,68
NORMAL_GROUPS,e25c7412-26c6-40b5-a24b-9c23d027da07,POINT(38.822977 8.915185),"Koye feche project 16// ኮዬ ፈጬ የጋራ መኖርያ መንደር 16, koye, 16, Koye, ኢትዮጵያ",15,17,4,10,0,35,15,5,21,10,87
NORMAL_GROUPS,b2ff3310-4841-40ca-b80a-537df7eccf92,POINT(38.823688 8.978168),Weregenu ayer marefia bahta lemariam | ወረገኑ በአታ ለማርያም ቤተክርስቲያን,15,46,6,21,33,21,63,22,0,15,151
NORMAL_GROUPS,d328ef9f-550a-4695-9057-8b45247bedcc,POINT(38.733850 9.012464),"Federal High Court | Lideta | የፌደራል ከፍተኛ ፍ/ቤት | ልደታ, አዲስ አበባ, ኢትዮጵያ",15,12,8,10,17,3,0,0,0,6,38
NORMAL_GROUPS,d4b8503d-1aff-49b7-a3ba-f37eb8fbc5cf,POINT(38.725614 8.947616),"Lebu Health Center, አዲስ አበባ, ኢትዮጵያ",15,6,0,0,16,1,7,6,0,5,30
NORMAL_GROUPS,16805feb-149e-4567-ba56-8d3aafc91547,POINT(38.832486 8.995525),Goro st. michael church | ጎሮ ቅዱስ ሚካኤል ቤተክርስቲያን,15,10,0,35,6,0,0,10,0,3,41
NORMAL_GROUPS,d4c18771-eabc-4c18-99fa-84a7aa3d0fae,POINT(38.751379 9.023760),Melka tower,15,9,3,5,5,5,16,6,14,7,47
NORMAL_GROUPS,1711f780-8c80-4065-ae27-e95dfba13b68,POINT(38.751850 9.022319),Trakon tower,15,5,1,13,0,7,5,0,0,5,26
NORMAL_GROUPS,1cc5ab42-eaaf-48d8-ab6d-a8b10eaa7ca7,POINT(38.751897 9.022478),"Tracon Tower | Churchill Area | ትራኮን ህንፃ | ቸርችል, Churchill Avenue, Addis Ababa, Ethiopia",15,16,26,11,31,0,12,12,0,6,86
NORMAL_GROUPS,e1ddc35c-e4d4-48a4-ae1e-6bb88e20949f,POINT(38.764611 9.016638),"Development Bank of Ethiopia | Kazanchis | የኢትዮዺያ ልማት ባንክ | ካዛንቺስ, Tito Street, አዲስ አበባ, ኢትዮጵያ",15,13,14,19,23,0,6,7,0,7,69
NORMAL_GROUPS,a4eb61a9-a226-4abb-b700-26de9278be92,POINT(38.725468 8.947716),Tena tabya,15,7,0,0,14,0,49,0,0,4,56
NORMAL_GROUPS,9c342125-706a-4e6b-86cc-5300ea6b7ca9,POINT(38.752693 9.021113),"Ethio Telecom Head Quarter | Biherawi |, Churchill Avenue, Addis Ababa, Ethiopia",15,7,26,48,10,0,0,0,0,4,42
NORMAL_GROUPS,24eab7f1-b6a2-4bd4-8df5-ed079eb91773,POINT(38.739874 9.000634),"Sarbet Road Around Africa Union, አዲስ አበባ, ኢትዮጵያ",15,30,2,56,20,1,17,48,7,14,135
NORMAL_GROUPS,97e8af63-74e2-49c1-93aa-a29f3561fb80,POINT(38.834105 8.896555),Natty bar,15,26,0,0,48,57,33,1,0,7,139
NORMAL_GROUPS,6e93314f-aa08-447f-b239-0ce988225470,POINT(38.815040 8.899432),"Koye Square | ኮዬ አደባባይ, አዲስ አበባ, ኢትዮጵያ",15,12,5,11,15,5,0,7,20,8,58
NORMAL_GROUPS,ae44c19a-066a-4238-a2f9-46c1e1cdb874,POINT(38.808679 8.997416),Eyasu begde building construction,15,10,2,10,13,5,10,12,0,8,52
NORMAL_GROUPS,89599bd7-d28d-40fe-a21c-1f7e6fb9c3f7,POINT(38.668258 8.937759),"Kenteri 08 taxi station, ዓለም ገና, ኢትዮጵያ",15,18,70,12,42,20,6,4,4,11,73
NORMAL_GROUPS,39ca398a-0d22-49e9-a152-b7533b29784b,POINT(38.765326 9.015832),Emebet amare building contractor,15,8,6,14,18,0,6,0,0,5,44
NORMAL_GROUPS,142bbeb1-e241-4d40-8383-e14b3d64ffd8,POINT(38.691340 9.003809),Vegas building | bethel,15,18,14,21,10,0,11,9,30,13,90
NORMAL_GROUPS,ac244bf9-fddc-484e-a85d-2db20244754f,POINT(38.739772 8.996189),General business p.l.c,15,26,18,19,7,17,7,8,5,13,80
NORMAL_GROUPS,3bce8e50-3ff4-41f0-a9c6-79c8b3278073,POINT(38.853337 9.020349),"Yetebaberut Beherawi Petroleum | CMC | የተባበሩት | ሲኤምሲ, አዲስ አበባ, ኢትዮጵያ",15,10,4,12,16,15,0,0,0,4,47
NORMAL_GROUPS,540afa50-e001-4170-a6a2-997d5aa790bf,POINT(38.780139 8.900683),"Kality Genet Menafesha Condomunium, አዲስ አበባ, ኢትዮጵያ",15,8,0,1,13,16,12,5,0,7,41
NORMAL_GROUPS,df2e0afa-00b6-459c-ba2a-96880b93ea77,POINT(38.837889 9.030961),"Wesen Michael | ወሰን ሚካኤል, Addis Ababa, Ethiopia",15,22,14,38,17,15,0,5,0,10,83
NORMAL_GROUPS,17deff15-cf39-43b0-aeb6-c5306e4d76f5,POINT(38.836496 8.995630),"Harmony School, አዲስ አበባ, ኢትዮጵያ",15,28,41,7,6,26,44,5,0,15,129
NORMAL_GROUPS,993d4426-a27a-4e71-ac2c-8b39a41e84ad,POINT(38.774932 8.993324),Office,14,15,6,0,5,0,10,59,0,7,65
NORMAL_GROUPS,a4e62c7c-e69d-4efe-89ca-4787905522fa,POINT(38.762037 8.967855),A1,14,8,0,6,16,6,6,15,0,5,49
NORMAL_GROUPS,7fbf2f4d-325c-4a84-9566-d5bdb84e374c,POINT(38.834884 8.890003),Koye abo mazorya,14,14,11,5,21,15,5,0,7,11,64
NORMAL_GROUPS,02e41a60-3a2a-438b-9f83-f99bda07d851,POINT(38.707158 8.983648),"Ayer Tena Menaharia | አየር ጤና መናሃርያ, አዲስ አበባ, ኢትዮጵያ",14,14,0,33,10,16,9,8,14,7,83
NORMAL_GROUPS,c0a99a83-b778-4572-83b2-f3ecdf0101da,POINT(38.751972 9.025856),"Churchill Hotel, Churchill Avenue, Addis Ababa, Ethiopia",14,8,18,0,5,0,6,12,0,5,35
NORMAL_GROUPS,2b78a43f-9695-4722-9ef5-15300061dcf5,POINT(38.766452 9.041234),Janmeda Health Center,14,5,0,7,6,6,5,10,0,5,34
NORMAL_GROUPS,b01652c4-b01d-45a0-9b78-e0512c99acd0,POINT(38.766362 9.041239),Janmeda Health Center,14,12,16,22,21,7,5,0,0,8,66
NORMAL_GROUPS,ab055b83-7ae0-45e8-8457-bbb32e58d8e5,POINT(38.797290 9.003987),"Zola International HOTEL, Addis Ababa, Ethiopia",14,14,14,65,50,21,8,13,2,9,168
NORMAL_GROUPS,fdd3d78b-5e5a-45bd-b175-cbbba3fc60b6,POINT(38.776789 8.993560),Tomoca coffee | wollo sefer branch,14,11,34,0,5,5,0,0,0,5,41
NORMAL_GROUPS,939b5673-eb32-49b0-afcc-27a850d08ab0,POINT(38.765446 9.015786),Nega Tower,14,12,30,12,10,1,10,1,5,10,69
NORMAL_GROUPS,d773943c-9b41-4f90-82ac-d35cd9193e8c,POINT(38.872351 8.974282),Bole arabsa,14,24,25,30,28,0,2,0,13,9,92
NORMAL_GROUPS,1276d160-7919-4230-82a4-18d74e6570f3,POINT(38.754289 8.934566),"Haji suk, አዲስ አበባ, ኢትዮጵያ",14,4,9,0,10,0,19,0,0,4,38
NORMAL_GROUPS,88985be3-409d-4096-a487-7c1841a82ead,POINT(38.825118 9.029921),Kotebe Mebrat Haile | ኮተቤ መብራት ሀይል,14,13,0,15,4,26,6,12,13,8,70
NORMAL_GROUPS,a30d986c-e342-4c9d-99bd-afed65f9cd96,POINT(38.814234 8.995622),"Kadisco General Hospital, Giorgis, Road to, Addis Ababa, Ethiopia",14,6,5,0,16,0,0,0,0,3,21
NORMAL_GROUPS,b7411f19-50cc-45f5-9992-8618552b5ec2,POINT(38.727579 8.996601),"International Community School of Addis Ababa | Karl Square | ኢንተርናሽናል ኮምዩኒቲ ት/ቤት | ካርል አደባባይ, Mauritania Street, Addis Ababa, Ethiopia",14,21,18,8,15,14,6,11,2,13,71
NORMAL_GROUPS,980bfd33-d140-4c46-b532-a6c72069d1f5,POINT(38.813896 8.997223),ያልተሰየመ መንገድ,14,8,0,0,18,11,7,6,0,6,42
NORMAL_GROUPS,d58629e5-6691-445f-b189-482cc5e735b0,POINT(38.801288 9.016723),LancetSpecialized internal Medicine and Surgical Center | Megenagna |,14,5,0,0,10,0,48,0,0,2,20
NORMAL_GROUPS,0d6f7ab8-ee98-400b-8330-97d21efab817,POINT(38.652197 9.024487),Safe Land Medium Clinic,14,28,26,7,16,58,10,6,0,11,122
NORMAL_GROUPS,e3ad6296-b011-423f-a8f2-125df8830425,POINT(38.718707 9.026464),"ልደታ ወረዳ 2 ጤና ጣቢያ, Addis Ababa, Ethiopia",14,9,5,5,11,0,10,11,0,6,42
NORMAL_GROUPS,5da5a845-7b71-4da7-ab8b-47458dce9ee7,POINT(38.695653 8.981345),"Ansar (Ayer Tena Mosque), አዲስ አበባ, ኢትዮጵያ",14,20,3,11,22,2,29,2,30,9,91
NORMAL_GROUPS,d0a8fada-651c-494d-a4b4-f7da6a869f12,POINT(38.735482 8.937708),"Haile Garment, Addis Ababa, Ethiopia",14,22,2,40,68,40,40,0,0,8,95
