date,product_name,Local shop price
2025-09-19,Green Beans,80
2025-04-21,Tomatoes Grade A,60
2025-08-13,Orange,230
2025-08-03,Salad,140
2025-04-06,Salad,160
2025-09-09,Red Onion Elfora,90
2025-07-22,White Cabbage,35
2025-08-02,Papaya,90
2025-06-01,Ginger,150
2025-08-19,Tomato B,50
2025-09-06,Corn,35
2025-08-02,Pineapple,130
2025-09-02,Mango,80
2025-08-10,Broccoli,240
2025-10-13,Chili Green,170
2025-09-17,Red Onion Elfora,110
2025-05-10,Tomatoes Grade B,35
2025-09-21,Mango Apple,180
2025-05-21,Ye Habesha Mango,150
2025-08-27,Potato for chips,40
2025-05-01,White Cabbage,50
2025-07-13,Banana,70
2025-06-04,Avocado,60
2025-05-18,Potatoes,50
2025-04-04,Valencia Orange,200
2025-09-06,Apple,500
2025-06-29,Potatoes,50
2025-10-22,Ginger,180
2025-09-02,Corn,40
2025-07-15,Salad,180
2025-04-22,Ginger,170
2025-08-27,Ginger,200
2025-07-26,Orange,200
2025-07-05,Pineapple,115
2025-04-10,Apple,400
2025-10-01,Papaya,80
2025-06-30,White Cabbage,40
2025-06-15,Strawberry,200
2025-06-04,Corn,25
2025-08-23,Strawberry,250
2025-08-10,Lemon,120
2025-06-19,Valencia Orange,230
2025-05-11,Garlic,380
2025-09-24,Beetroot,60
2025-07-08,Chili Green,150
2025-08-18,Eggplant,100
2025-08-02,Broccoli,160
2025-06-18,Red Onion Grade C,95
2025-08-05,Zucchini,80
2025-04-12,Papaya,100
2025-09-19,Tomato B,70
2025-10-17,Strawberry,230
2025-10-13,Red Onion B,90
2025-10-20,Green chili starta,180
2025-08-28,Garlic,380
2025-09-22,Red Onion Elfora,115
2025-04-27,Courgette,130
2025-10-22,Eggplant,100
2025-08-27,Lemon,230
2025-08-23,White Cabbage,40
2025-10-23,Apple,450
2025-08-16,Eggplant,120
2025-10-04,Tomato B,90
2025-08-30,Potato for chips,40
2025-08-02,Chili Green,100
2025-07-21,Banana,70
2025-04-30,Potatoes,55
2025-09-14,Cucumber,160
2025-10-11,Red Onion Elfora,80
2025-08-24,Mango,80
2025-07-07,Red Onion B,75
2025-10-15,Strawberry,200
2025-05-31,Apple,450
2025-10-13,Green chili starta,170
2025-09-25,Beetroot,45
2025-07-26,Eggplant,100
2025-05-19,Garlic,390
2025-04-13,Ye Habesha Mango,100
2025-06-11,Salad,130
2025-07-12,Apple,400
2025-10-24,Potato for chips,35
2025-10-04,Zucchini,180
2025-05-23,Apple Mango,220
2025-07-28,Red Onion A,100
2025-08-30,Orange,200
2025-09-02,Cucumber,200
2025-08-12,Broccoli,160
2025-10-08,Ginger,190
2025-06-03,Pineapple,100
2025-07-04,White Cabbage,40
2025-07-03,Tomato B,45
2025-09-03,Mango,80
2025-08-02,Banana,75
2025-08-16,Beetroot,70
2025-09-12,Tomato B,60
2025-07-19,Sweet Potato,90
2025-10-03,Tomato B,90
2025-08-09,Zucchini,160
2025-06-30,Tomatoes Grade B,60
2025-07-23,Chili Green,70
2025-07-17,Orange,200
2025-04-06,Broccoli,200
2025-06-07,White Cabbage,45
2025-08-17,Tomato A,55
2025-07-15,Strawberry,220
2025-07-11,Ginger,230
2025-07-29,Salad,150
2025-09-23,Chili Green,150
2025-09-17,Garlic,350
2025-10-22,Carrot,90
2025-10-08,Orange,160
2025-04-08,Pineapple,120
2025-08-31,Red Onion A,110
2025-04-17,Courgette,130
2025-07-07,Potato,40
2025-07-13,Chili Green,120
2025-07-17,Mango,80
2025-07-15,Papaya,65
2025-06-29,Mango,130
2025-04-04,Tomatoes Grade A,55
2025-10-23,Lemon,175
2025-07-11,Cucumber,230
2025-10-18,Salad,130
2025-08-07,Broccoli,140
2025-08-18,Apple,400
2025-07-23,Cucumber,120
2025-05-09,Avocado,100
2025-09-23,Tomato A,85
2025-06-28,Red Onion Grade B,85
2025-06-17,Ye Habesha Mango,75
2025-09-09,Zucchini,160
2025-04-04,Papaya,70
2025-04-09,Broccoli,175
2025-06-08,Apple,380
2025-05-22,Garlic,380
2025-04-27,Red Onion Grade B,60
2025-07-27,Beetroot,65
2025-05-06,Apple,400
2025-10-19,Cucumber,140
2025-10-16,Chili Green,160
2025-08-07,Lemon,200
2025-06-06,Beet root,55
2025-08-27,Red Onion A,110
2025-08-09,Mango Apple,140
2025-08-11,Lemon,180
2025-09-06,Pineapple,130
2025-04-19,Green Beans,180
2025-06-16,Cucumber,220
2025-10-06,Broccoli,200
2025-09-02,Red Onion Elfora,95
2025-10-09,Broccoli,120
2025-05-29,Chilly Green (Elfora),200
2025-04-14,Carrot,70
2025-06-12,Potatoes,55
2025-10-18,White Cabbage,40
2025-04-08,Avocado,90
2025-07-29,Red Onion B,90
2025-05-30,Green Beans,150
2025-06-11,Salad,130
2025-05-31,Strawberry,200
2025-05-20,Red Onion Grade C,70
2025-10-19,Green Beans,100
2025-05-18,Tomatoes Grade A,50
2025-09-28,Tomato A,100
2025-06-29,Carrot,70
2025-05-31,Courgette,100
2025-04-07,Apple Mango,255
2025-06-13,Tomatoes Grade A,45
2025-07-03,Cucumber,100
2025-05-21,Avocado,90
2025-05-26,Chilly Green,140
2025-08-15,Tomato A,70
2025-05-16,Lemon,270
2025-04-14,Red Onion Grade B,65
2025-09-16,Lemon,180
2025-07-05,Salad,150
2025-07-30,Pineapple,110
2025-10-07,Corn,40
2025-09-24,Eggplant,150
2025-05-04,Lemon,280
2025-08-10,Tomato B,45
2025-06-20,Tomatoes Grade A,40
2025-10-12,Green chili starta,230
2025-06-19,Apple,550
2025-08-23,Red Onion A,120
2025-09-21,Potato,30
2025-10-04,Carrot,110
2025-08-30,Avocado,90
2025-07-07,Zucchini,100
2025-08-10,Cucumber,180
2025-05-05,Pineapple,120
2025-09-04,Tomato B,55
2025-04-13,Apple,400
2025-08-28,Mango Apple,270
2025-07-02,Beetroot,70
2025-06-29,Carrot,75
2025-09-25,Tomato A,95
2025-04-15,Strawberry,200
2025-05-08,Avocado Shekaraw,120
2025-05-04,Apple Mango,250
2025-09-28,Tomato A,100
2025-04-01,White Cabbage,50
2025-10-09,Pineapple,140
2025-10-03,Lemon,150
2025-05-28,Chilly Green (Elfora),160
2025-08-04,Potato,45
2025-07-07,Mango,140
2025-08-31,Chili Green,160
2025-07-09,Red Onion B,80
2025-08-06,Apple,450
2025-06-16,Carrot,75
2025-05-31,Broccoli,200
2025-10-12,White Cabbage,30
2025-09-17,Ginger,270
2025-05-26,Chilly Green,140
2025-06-08,Ye Habesha Mango,80
2025-08-10,Tomato A,50
2025-10-14,Tomato A,100
2025-08-09,Red Onion A,110
2025-09-29,Apple,420
2025-09-02,Potato,40
2025-06-30,Pineapple,120
2025-04-29,Carrot,70
2025-08-08,Red Onion A,115
2025-05-19,Beet root,55
2025-05-27,Tomatoes Grade B,40
2025-04-27,Tomatoes Grade B,45
2025-09-23,Zucchini,138
2025-10-15,Pineapple,80
2025-05-19,Potatoes,50
2025-10-07,Garlic,350
2025-09-25,Broccoli,180
2025-07-07,Cucumber,120
2025-05-04,Red Onion Grade B,60
2025-09-17,Carrot,120
2025-10-16,Red Onion Elfora,70
2025-04-23,Broccoli,250
2025-09-08,Mango Apple,160
2025-08-05,Eggplant,170
2025-10-04,Lemon,200
2025-08-17,Tomato B,65
2025-05-29,Valencia Orange,250
2025-08-10,Red Onion B,110
2025-05-28,White Cabbage,45
2025-05-02,Broccoli,200
2025-10-23,Orange,160
2025-08-18,Avocado,100
2025-08-09,Tomato B,50
2025-08-18,Pineapple,115
2025-07-18,Garlic,360
2025-09-08,Sweet Potato,90
2025-07-29,Beetroot,65
2025-09-19,Sweet Potato,80
2025-10-18,Tomato A,70
2025-04-16,Avocado,100
2025-04-12,Red Onion A,70
2025-08-13,Red Onion Elfora,90
2025-05-18,Papaya,80
2025-10-09,Green chili starta,240
2025-08-14,Cucumber,110
2025-09-06,Ginger,250
2025-07-29,Red Onion C,90
2025-04-02,Red Onion Grade B,55
2025-10-16,Papaya,80
2025-04-21,Garlic,350
2025-10-20,Chili Green,110
2025-07-06,Zucchini,120
2025-06-29,Eggplant,130
2025-04-08,Courgette,180
2025-08-18,Tomato B,55
2025-06-03,Red Onion Grade B,100
2025-10-23,Sweet Potato,80
2025-07-06,Potato,50
2025-10-08,Ginger,260
2025-04-29,Avocado,85
2025-08-17,Ginger,250
2025-04-19,Salad,130
2025-10-11,Papaya,90
2025-06-30,Strawberry,200
2025-04-28,White Cabbage,45
2025-06-12,Potatoes,50
2025-09-26,Red Onion B,140
2025-09-21,Cucumber,180
2025-04-21,Strawberry,200
2025-06-21,Tomatoes Grade B,45
2025-06-15,Papaya,80
2025-07-26,Salad,180
2025-06-17,White Cabbage,45
2025-09-15,Potato for chips,45
2025-06-06,Chilly Green,130
2025-07-04,Chili Green,140
2025-04-25,Chilly Green (Elfora),200
2025-07-25,Sweet Potato,75
2025-06-13,Valencia Orange,250
2025-04-16,Chilly Green (Elfora),220
2025-07-21,Broccoli,160
2025-09-17,White Cabbage,40
2025-10-14,Strawberry,200
2025-05-29,Pineapple,110
2025-09-25,Corn,40
2025-08-07,Cucumber,100
2025-09-15,Potato,35
2025-08-31,Eggplant,150
2025-09-10,Orange,180
2025-07-30,Chili Green,150
2025-06-12,White Cabbage,35
2025-07-15,Red Onion B,85
2025-07-06,Pineapple,120
2025-04-17,Lemon,290
2025-09-19,Mango Apple,200
2025-10-20,Beetroot,55
2025-09-02,Potato,35
2025-07-02,Potatoes Chips,50
2025-05-27,White Cabbage,50
2025-10-24,Banana,80
2025-10-19,Green chili starta,185
2025-08-25,Red Onion Elfora,90
2025-10-13,Salad,150
2025-07-05,Mango,65
2025-06-05,Pineapple,100
2025-07-24,Broccoli,220
2025-05-07,Ginger,150
2025-07-21,Carrot,120
2025-07-20,Corn,35
2025-10-20,Papaya,90
2025-05-29,Apple Mango,260
2025-06-02,Green Beans,120
2025-08-30,Red Onion B,100
2025-04-13,Avocado Shekaraw,130
2025-07-24,Pineapple,120
2025-05-06,Cucumber,250
2025-09-09,Corn,40
2025-08-02,White Cabbage,40
2025-10-11,Red Onion A,90
2025-09-25,Banana,800
2025-06-29,Grean Beans,150
2025-05-10,Salad,120
2025-07-02,Papaya,70
2025-09-08,Zucchini,180
2025-10-01,Lemon,170
2025-05-09,Chilly Green,160
2025-06-12,Carrot,70
2025-04-06,Salad,200
2025-10-20,Ginger,185
2025-06-21,Pineapple,120
2025-07-02,Courgette,150
2025-07-04,Broccoli,200
2025-07-12,Orange,220
2025-06-13,Beet root,60
2025-05-24,Avocado Shekaraw,150
2025-09-19,Orange,180
2025-06-16,Potatoes,50
2025-06-10,Red Onion Grade C,85
2025-04-03,Red Onion Grade B,55
2025-04-14,Chilly Green,160
2025-04-19,Cucumber,200
2025-06-09,Potatoes,50
2025-10-23,Lemon,200
2025-10-17,Zucchini,180
2025-07-20,Green Beans,160
2025-04-07,Beet root,55
2025-07-31,Mango Apple,230
2025-04-11,White Cabbage,55
2025-05-22,Strawberry,200
2025-10-08,Potato,35
2025-05-16,Salad,150
2025-10-07,Broccoli,160
2025-05-10,Lemon,260
2025-09-22,Potato,35
2025-08-15,Ginger,230
2025-09-09,Potato,30
2025-10-05,Orange,160
2025-07-11,Orange,200
2025-07-22,Pineapple,110
2025-09-13,Papaya,120
2025-09-02,Chili Green,180
2025-04-10,Green Beans,200
2025-08-29,Mango Apple,200
2025-06-08,Papaya,80
2025-05-28,Courgette,175
2025-06-11,Green Beans,90
2025-10-24,Lemon,170
2025-08-03,Pineapple,120
2025-10-08,Banana,85
2025-10-16,Red Onion B,80
2025-04-28,Yerer Orange,280
2025-09-04,Red Onion A,120
2025-05-26,Beet root,60
2025-08-19,Tomato B,50
2025-04-20,Courgette,150
2025-09-21,Potato for chips,45
2025-05-29,Chilly Green (Elfora),180
2025-10-04,Pineapple,140
2025-08-24,Sweet Potato,90
2025-06-14,Pineapple,100
2025-04-24,Courgette,120
2025-04-12,Garlic,350
2025-07-24,Potato,45
2025-10-18,Lemon,180
2025-05-12,Potatoes,45
2025-06-15,Garlic,400
2025-09-24,Sweet Potato,90
2025-04-08,Ye Habesha Mango,100
2025-04-01,Apple,450
2025-07-18,Avocado,120
2025-08-26,Strawberry,250
2025-10-04,White Cabbage,45
2025-04-06,Apple,400
2025-06-21,Apple Mango,220
2025-04-28,Strawberry,200
2025-07-21,Papaya,90
2025-10-06,Eggplant,130
2025-08-27,Mango Apple,180
2025-09-17,Garlic,240
2025-06-01,Courgette,100
2025-04-27,Red Onion Grade B,45
2025-10-09,Garlic,352
2025-07-09,Corn,40
2025-05-30,Tomatoes Grade A,50
2025-04-15,Potatoes,55
2025-06-17,Beet root,60
2025-05-30,Avocado,85
2025-05-23,Lemon,200
2025-04-14,Apple Mango,220
2025-09-22,Red Onion Elfora,120
2025-10-07,Red Onion B,125
2025-09-15,Beetroot,60
2025-08-01,Tomato A,55
2025-04-26,Strawberry,200
2025-08-05,Sweet Potato,90
2025-08-20,Cucumber,200
2025-10-02,Zucchini,200
2025-09-08,Tomato B,60
2025-08-20,Garlic,300
2025-07-25,Ginger,200
2025-05-14,Lemon,220
2025-08-28,Mango,75
2025-10-01,Cucumber,170
2025-08-16,Cucumber,140
2025-09-04,Red Onion A,100
2025-05-16,Broccoli,200
2025-07-31,Pineapple,110
2025-04-11,Beet root,60
2025-05-22,Potatoes,45
2025-07-26,Zucchini,70
2025-08-11,Beetroot,50
2025-05-23,Beet root,55
2025-04-11,Strawberry,190
2025-06-07,Potatoes,55
2025-09-18,Cucumber,150
2025-10-19,Cucumber,150
2025-06-11,Courgette,100
2025-04-01,Broccoli,250
2025-10-20,Sweet Potato,85
2025-05-18,Garlic,430
2025-08-22,Carrot,100
2025-04-21,Salad,200
2025-08-23,Strawberry,200
2025-08-07,Red Onion B,100
2025-10-13,Mango Apple,250
2025-06-18,Potatoes,45
2025-05-24,Apple,500
2025-04-27,Courgette,100
2025-05-28,Cucumber,175
2025-08-11,White Cabbage,40
2025-07-03,Apple,450
2025-08-31,Pineapple,120
2025-10-22,Sweet Potato,100
2025-04-14,Apple,400
2025-09-13,Corn,40
2025-10-06,Tomato B,90
2025-05-01,Avocado,80
2025-04-13,Tomatoes Grade B,60
2025-08-11,Tomato A,45
2025-05-02,Green Beans,160
2025-08-16,Eggplant,150
2025-09-21,Red Onion B,135
2025-08-07,Salad,160
2025-07-13,Apple,400
2025-06-03,Valencia Orange,250
2025-05-31,Red Onion Grade B,100
2025-10-20,Sweet Potato,80
2025-10-03,Potato for chips,40
2025-09-07,Green Beans,130
2025-06-30,Garlic,400
2025-08-12,Potato,40
2025-06-01,Apple,440
2025-07-31,Papaya,110
2025-10-25,Green Beans,140
2025-09-06,Green chili starta,180
2025-08-29,Tomato A,50
2025-07-05,Mango,75
2025-10-19,Red Onion B,70
2025-10-06,Garlic,250
2025-06-15,Strawberry,120
2025-06-14,Tomatoes Grade A,45
2025-09-17,Red Onion B,130
2025-09-05,Green Beans,100
2025-09-22,Pineapple,130
2025-06-20,Chilly Green,130
2025-10-03,Carrot,90
2025-07-23,Broccoli,120
2025-08-03,Red Onion A,105
2025-09-30,Sweet Potato,90
2025-09-09,Ginger,200
2025-04-17,Beet root,55
2025-07-04,Green Beans,130
2025-09-06,Sweet Potato,75
2025-05-11,Apple Mango,240
2025-09-28,Strawberry,200
2025-08-23,Tomato A,55
2025-06-30,Avocado B,120
2025-05-29,Cucumber,150
2025-05-13,Salad,120
2025-07-28,Eggplant,90
2025-08-29,Garlic,350
2025-07-14,White Cabbage,40
2025-08-01,Chili Green,165
2025-08-21,Avocado,120
2025-04-05,Tomatoes Grade B,60
2025-04-28,Tomatoes Grade B,55
2025-09-24,Broccoli,160
2025-06-13,White Cabbage,40
2025-06-17,Beet root,60
2025-06-29,Lemon,180
2025-08-03,Garlic,350
2025-04-26,Chilly Green (Elfora),200
2025-09-01,Potato for chips,35
2025-04-14,Yerer Orange,280
2025-05-01,Red Onion Grade B,60
2025-06-11,Red Onion Elfora,80
2025-05-04,Courgette,150
2025-09-02,Garlic,350
2025-04-13,Garlic,350
2025-04-19,Red Onion Grade B,55
2025-10-23,Banana,80
2025-09-20,Ginger,270
2025-04-25,Beet root,50
2025-06-02,Pineapple,120
2025-07-31,Banana,70
2025-09-25,Zucchini,150
2025-05-23,Potatoes,50
2025-08-18,Potato,50
2025-08-23,Red Onion Elfora,100
2025-10-06,Beetroot,50
2025-06-15,Cucumber,140
2025-10-23,Potato,35
2025-08-23,Apple,500
2025-08-24,Banana,80
2025-08-08,Pineapple,100
2025-08-22,Mango Apple,200
2025-06-11,Salad,120
2025-08-07,Red Onion Elfora,100
2025-10-06,Green Beans,80
2025-06-07,Broccoli,210
2025-10-07,Carrot,90
2025-07-12,Ginger,200
2025-10-12,Mango Apple,180
2025-08-23,Tomato B,50
2025-05-08,Apple Mango,230
2025-09-22,Ginger,200
2025-07-17,Banana,60
2025-09-13,Chili Green,150
2025-05-25,Cucumber,170
2025-08-06,Red Onion Elfora,95
2025-06-01,Red Onion Grade C,95
2025-09-19,Green Beans,100
2025-07-14,Red Onion A,90
2025-08-16,Mango,70
2025-05-16,Red Onion Grade B,80
2025-08-15,Sweet Potato,90
2025-05-02,Chilly Green,150
2025-05-21,Carrot,65
2025-09-21,Lemon,180
2025-06-09,Courgette,100
2025-05-11,Apple Mango,250
2025-04-01,Cucumber,250
2025-08-24,Carrot,100
2025-10-24,Mango Apple,240
2025-09-20,Sweet Potato,80
2025-07-16,Pineapple,120
2025-07-21,Mango,75
2025-04-05,Pineapple,100
2025-09-06,Lemon,120
2025-04-01,White Cabbage,50
2025-04-08,Broccoli,180
2025-09-28,Salad,180
2025-07-28,Corn,35
2025-10-08,Beetroot,50
2025-04-29,Apple Mango,200
2025-07-21,Orange,200
2025-08-14,Tomato A,60
2025-06-15,Beet root,60
2025-06-15,Carrot,70
2025-05-29,Apple,500
2025-06-21,Apple,380
2025-04-08,White Cabbage,55
2025-10-03,Chili Green,170
2025-05-12,Garlic,380
2025-04-27,Red Onion Grade B,65
2025-08-30,Strawberry,225
2025-04-05,Apple Mango,200
2025-08-14,Pineapple,110
2025-06-15,Potatoes,45
2025-10-06,Apple,600
2025-06-14,Green Beans,140
2025-10-22,Papaya,100
2025-08-27,Sweet Potato,100
2025-08-17,Papaya,120
2025-10-22,Avocado,100
2025-09-30,Lemon,210
2025-07-28,Mango Apple,250
2025-05-13,Potatoes,50
2025-09-26,Tomato B,80
2025-04-07,Green Beans,150
2025-06-11,Ginger,155
2025-10-16,Pineapple,130
2025-09-16,Sweet Potato,85
2025-10-16,Salad,150
2025-09-10,Red Onion B,115
2025-05-05,Papaya,80
2025-06-15,Beet root,50
2025-10-15,Strawberry,230
2025-07-27,Corn,35
2025-09-17,Potato,35
2025-10-14,Potato for chips,35
2025-08-12,Zucchini,80
2025-09-14,Garlic,350
2025-10-02,White Cabbage,30
2025-04-30,Avocado Shekaraw,100
2025-04-21,Avocado,80
2025-05-25,Chilly Green,150
2025-09-30,Green Beans,80
2025-08-07,Broccoli,170
2025-04-02,Chilly Green (Elfora),200
2025-04-09,Strawberry,200
2025-05-20,Ginger,160
2025-07-12,White Cabbage,45
2025-10-24,Sweet Potato,80
2025-04-11,Tomatoes Grade A,65
2025-08-01,Apple,500
2025-06-10,Cucumber,130
2025-04-03,Ginger,160
2025-09-27,Strawberry,250
2025-09-03,Banana,80
2025-09-30,Apple,700
2025-06-13,Potatoes,45
2025-07-28,Tomato A,55
2025-09-03,Apple,450
2025-09-21,Chili Green,90
2025-05-06,Courgette,100
2025-06-08,Cucumber,150
2025-05-16,Papaya,70
2025-09-28,Papaya,100
2025-09-22,Corn,35
2025-10-13,Eggplant,100
2025-06-06,Cucumber,150
2025-07-13,Apple,500
2025-07-22,Chili Green,150
2025-09-02,Avocado,100
2025-04-29,Yerer Orange,270
2025-05-02,Chilly Green (Elfora),180
2025-10-18,Cucumber,140
2025-07-14,Apple,450
2025-09-15,Apple,400
2025-10-13,Salad,150
2025-08-05,Chili Green,170
2025-08-03,Mango,140
2025-08-19,Mango,100
2025-04-07,Tomatoes Grade A,70
2025-05-16,Red Onion Grade B,70
2025-05-27,Carrot,70
2025-04-19,Apple,400
2025-04-30,Salad,150
2025-07-07,Broccoli,180
2025-09-04,Papaya,120
2025-07-25,Broccoli,160
2025-04-10,Carrot,70
2025-07-10,Banana,65
2025-04-13,Tomatoes Grade A,70
2025-07-27,Lemon,200
2025-10-12,Avocado,120
2025-04-07,Chilly Green (Elfora),180
2025-08-26,Strawberry,200
2025-05-10,Ginger,170
2025-08-29,Mango,80
2025-04-07,Beet root,65
2025-08-31,Broccoli,200
2025-07-03,Orange,250
2025-07-18,Pineapple,100
2025-09-28,Tomato B,85
2025-08-23,Ginger,250
2025-05-14,Courgette,100
2025-08-12,Pineapple,115
2025-07-23,Pineapple,115
2025-04-01,Courgette,110
2025-07-14,Tomato A,55
2025-07-22,Tomato A,65
2025-05-31,Tomatoes Grade A,30
2025-04-03,Red Onion A,60
2025-04-27,Red Onion Grade B,70
2025-09-24,Papaya,100
2025-10-03,Strawberry,220
2025-07-26,Strawberry,200
2025-05-09,Salad,120
2025-10-02,Garlic,280
2025-06-21,Green Beans,140
2025-09-29,Lemon,130
2025-08-20,Avocado,120
2025-06-08,Tomatoes Grade B,30
2025-05-07,Beet root,50
2025-05-21,Beet root,55
2025-08-19,Tomato A,55
2025-08-09,Broccoli,160
2025-06-30,Carrot,70
2025-10-05,Apple,460
2025-06-06,Courgette,100
2025-04-10,Pineapple,130
2025-05-09,Broccoli,200
2025-09-30,Potato,40
2025-09-04,Mango Apple,160
2025-10-15,Beetroot,60
2025-06-06,Potatoes,50
2025-06-12,Tomatoes Grade A,30
2025-10-24,Mango Apple,550
2025-04-03,Chilly Green (Elfora),220
2025-06-19,White Cabbage,45
2025-05-16,Beet root,55
2025-08-10,Apple,500
2025-06-08,Courgette,100
2025-10-07,Green Beans,90
2025-06-18,Tomatoes Grade A,45
2025-04-18,Tomatoes Grade B,60
2025-07-16,Lemon,120
2025-07-03,Banana,70
2025-09-13,Lemon,200
2025-04-20,Cucumber,170
2025-07-16,Tomato B,45
2025-10-02,Tomato A,100
2025-09-14,Ginger,200
2025-08-21,Ginger,260
2025-08-27,Beetroot,65
2025-10-19,Broccoli,200
2025-08-20,Chili Green,160
2025-06-11,Beet root,55
2025-05-24,Avocado,90
2025-05-17,Tomatoes Grade B,45
2025-09-12,Strawberry,225
2025-05-02,Papaya,75
2025-10-20,Orange,150
2025-07-05,Avocado,80
2025-04-21,Carrot,70
2025-08-27,Broccoli,160
2025-04-10,Tomatoes Grade B,55
2025-10-17,Tomato B,85
2025-08-21,Mango Apple,230
2025-05-28,Red Onion Grade B,90
2025-10-22,Apple,450
2025-05-19,Pineapple,80
2025-04-05,Beet root,55
2025-04-25,Apple,400
2025-04-07,Red Onion A,60
2025-07-22,Mango Apple,140
2025-08-25,Chili Green,140
2025-07-30,Salad,170
2025-05-06,Chilly Green (Elfora),180
2025-07-09,Garlic,410
2025-10-09,Green chili starta,150
2025-09-21,Lemon,180
2025-06-17,Garlic,400
2025-09-06,Tomato B,65
2025-06-14,Ye Habesha Mango,120
2025-07-11,Tomato A,55
2025-10-16,Green Beans,85
2025-08-17,Green Beans,120
2025-09-10,Carrot,90
2025-09-02,Chili Green,150
2025-05-04,Carrot,60
2025-09-08,Green chili starta,180
2025-05-11,Apple,500
2025-09-02,Mango,75
2025-07-24,Broccoli,150
2025-10-17,Red Onion B,80
2025-07-29,Potato,50
2025-09-18,Cucumber,150
2025-07-08,Ginger,220
2025-07-03,Potato,45
2025-06-29,Avocado B,130
2025-09-03,Avocado,80
2025-10-18,Green chili starta,180
2025-09-26,Broccoli,150
2025-10-02,Avocado,115
2025-09-28,Zucchini,150
2025-10-19,Ginger,180
2025-08-06,Mango Apple,240
2025-05-19,Beet root,55
2025-09-05,Mango Apple,250
2025-04-30,Lemon,280
2025-07-26,Broccoli,140
2025-04-28,Avocado,80
2025-08-24,Banana,90
2025-06-11,Apple,400
2025-05-26,Cucumber,150
2025-05-07,Salad,120
2025-08-10,Carrot,100
2025-04-16,Green Beans,200
